MLS,sold_price,zipcode,longitude,latitude,lot_acres,taxes,year_built,bedrooms,bathrooms,sqrt_ft,garage,fireplaces,HOA,floor_covering_luxury,floor_covering_standard,kitchen_features_luxury,kitchen_features_standard,price_per_ft,price_per_bed_room,bathrooms_per_bedroom
21901825,1937000.0,85658,-111.093751,32.470017,0.58,1989,2019,4,5,3620.0,3.0,2,550.0,1,0,0,1,535.0828729281768,484250.0,1.25
21409831,1831392.0,85658,-111.097132,32.468215,0.46,1609,2015,3,4,3276.0,2.0,2,550.0,1,0,0,1,559.032967032967,610464.0,1.3333333333333333
21412375,1650000.0,85658,-111.036562,32.455744,4.15,18658,2009,3,4,5440.0,3.0,3,250.0,0,1,0,1,303.30882352941177,550000.0,1.3333333333333333
21522589,2100000.0,85718,-110.885186,32.327907,1.55,15668,2009,5,7,6755.0,3.0,4,258.0,1,0,0,1,310.88082901554407,420000.0,1.4
21814436,1450000.0,85624,-110.738083,31.533643,164.3,0,1997,1,1,3576.0,0.0,0,0.0,0,1,0,1,405.48098434004476,1450000.0,1.0
21326674,1700000.0,85750,-110.846362,32.32963,1.12,17898,2002,4,5,6400.0,3.0,3,123.0,1,0,0,1,265.625,425000.0,1.25
21601186,1625000.0,85718,-110.935902,32.305132,4.01,17309,1981,5,6,6050.0,3.0,9,0.0,0,1,0,1,268.59504132231405,325000.0,1.2
21601560,1500000.0,85718,-110.949807,32.344544,1.36,14846,2003,4,5,5276.0,4.0,4,158.0,1,0,0,1,284.30629264594387,375000.0,1.25
21705735,1744900.0,85658,-111.059749,32.453961,2.19,16352,2008,3,4,4817.0,3.0,4,142.0,1,0,0,1,362.2379074112518,581633.3333333334,1.3333333333333333
21206095,1650000.0,85658,-111.044736,32.444906,3.3,13874,2008,4,5,6496.0,4.0,4,0.0,0,1,0,1,254.0024630541872,412500.0,1.25
21417996,1700000.0,85755,-110.995365,32.473032,1.77,7204,2012,4,5,4321.0,3.0,3,142.0,1,0,0,1,393.42744735015043,425000.0,1.25
21422109,1650000.0,85750,-110.841828,32.319575,1.0,12094,2006,4,5,5600.0,3.0,4,0.0,1,0,0,1,294.64285714285717,412500.0,1.25
21615519,1715000.0,85750,-110.864627,32.332365,1.02,15580,2003,5,6,6238.0,3.0,1,219.0,0,1,0,1,274.9278614940686,343000.0,1.2
21512252,1700000.0,85658,-111.094521,32.468716,0.85,1795,2014,4,5,4724.0,3.0,3,550.0,1,0,0,1,359.8645215918713,425000.0,1.25
21202800,1500000.0,85750,-110.848033,32.320662,1.04,12870,1998,4,6,5838.0,3.0,1,88.0,0,1,0,1,256.9373072970195,375000.0,1.5
21218186,1500000.0,85750,-110.832822,32.324816,0.83,15541,2007,3,4,5112.0,4.0,2,50.0,1,0,0,1,293.42723004694835,500000.0,1.3333333333333333
21304206,1600000.0,85755,-111.001545,32.469205,1.02,12718,2008,3,4,4411.0,2.0,3,153.0,1,0,0,1,362.7295397868964,533333.3333333334,1.3333333333333333
21704185,1550000.0,85658,-111.061767,32.466473,2.06,15981,2007,3,4,3670.0,3.0,3,127.0,1,0,0,1,422.3433242506812,516666.6666666667,1.3333333333333333
