sold_price,longitude,zipcode,latitude,lot_acres,taxes,year_built,bedrooms,bathrooms,sqrt_ft,garage,fireplaces,HOA,floor_covering_standard,floor_covering_luxury,kitchen_features_standard,kitchen_features_luxury,price_per_ft,price_per_bed_room,bathrooms_per_bedroom,NAME
2100000.0,-110.885186,85718,32.327907,1.55,15668,2009,5,7,6755.0,3.0,4,258.0,0,1,1,0,310.88082901554407,420000.0,1.4,Catalina Foothills
1450000.0,-110.75,85624,31.54,164.3,0,1997,1,1,3576.0,0.0,0,0.0,1,0,1,0,405.4809843400448,1450000.0,1.0,Patagonia town
1700000.0,-110.846362,85750,32.32963,1.12,17898,2002,4,5,6400.0,3.0,3,123.0,0,1,1,0,265.625,425000.0,1.25,Catalina Foothills
1625000.0,-110.935902,85718,32.305132,4.01,17309,1981,5,6,6050.0,3.0,9,0.0,1,0,1,0,268.59504132231405,325000.0,1.2,Catalina Foothills
1500000.0,-110.949807,85718,32.344544,1.36,14846,2003,4,5,5276.0,4.0,4,158.0,0,1,1,0,284.30629264594387,375000.0,1.25,Catalina Foothills
1744900.0,-111.059749,85658,32.453961,2.19,16352,2008,3,4,4817.0,3.0,4,142.0,0,1,1,0,362.2379074112518,581633.3333333334,1.3333333333333333,Marana
1650000.0,-111.044736,85658,32.444906,3.3,13874,2008,4,5,6496.0,4.0,4,0.0,1,0,1,0,254.0024630541872,412500.0,1.25,Marana
1700000.0,-110.995365,85755,32.473032,1.77,7204,2012,4,5,4321.0,3.0,3,142.0,0,1,1,0,393.4274473501504,425000.0,1.25,Oro Valley
1650000.0,-110.841828,85750,32.319575,1.0,12094,2006,4,5,5600.0,3.0,4,0.0,0,1,1,0,294.6428571428572,412500.0,1.25,Catalina Foothills
1715000.0,-110.864627,85750,32.332365,1.02,15580,2003,5,6,6238.0,3.0,1,219.0,1,0,1,0,274.9278614940686,343000.0,1.2,Catalina Foothills
1700000.0,-111.094521,85658,32.468716,0.85,1795,2014,4,5,4724.0,3.0,3,550.0,0,1,1,0,359.8645215918713,425000.0,1.25,Marana
1500000.0,-110.848033,85750,32.320662,1.04,12870,1998,4,6,5838.0,3.0,1,88.0,1,0,1,0,256.9373072970195,375000.0,1.5,Catalina Foothills
1500000.0,-110.832822,85750,32.324816,0.83,15541,2007,3,4,5112.0,4.0,2,50.0,0,1,1,0,293.42723004694835,500000.0,1.3333333333333333,Catalina Foothills
1600000.0,-111.001545,85755,32.469205,1.02,12718,2008,3,4,4411.0,2.0,3,153.0,0,1,1,0,362.7295397868964,533333.3333333334,1.3333333333333333,Oro Valley
1550000.0,-111.061767,85658,32.466473,2.06,15981,2007,3,4,3670.0,3.0,3,127.0,0,1,1,0,422.3433242506812,516666.6666666667,1.3333333333333333,Marana
1695000.0,-110.917749,85718,32.300739,1.11,19110,2008,6,6,7855.0,3.0,3,180.0,0,1,1,0,215.7861234882241,282500.0,1.0,Catalina Foothills
1645000.0,-110.877434,85718,32.33054,0.97,13214,2011,6,5,5443.0,3.0,4,259.0,0,1,0,1,302.2230387653867,274166.6666666667,0.8333333333333334,Catalina Foothills
1450000.0,-110.838615,85750,32.329529,6.52,12737,1993,4,5,4897.0,3.0,2,128.0,0,1,1,0,296.09965284868287,362500.0,1.25,Catalina Foothills
1700000.0,-110.844064,85750,32.329358,0.48,10061,1998,3,3,3871.0,3.0,3,117.0,1,0,1,0,439.1630069749419,566666.6666666666,1.0,Catalina Foothills
2272554.0,-111.097984,85658,32.472085,2.45,2593,2015,3,4,4724.0,2.0,1,550.0,0,1,1,0,481.0656223539373,757518.0,1.3333333333333333,Marana
1768000.0,-111.093975,85658,32.469749,0.6,1795,2016,3,4,4100.0,3.0,2,550.0,0,1,1,0,431.219512195122,589333.3333333334,1.3333333333333333,Marana
1865705.0,-111.094305,85658,32.472169,0.61,1989,2018,3,4,3300.0,3.0,3,0.0,0,1,1,0,565.3651515151515,621901.6666666666,1.3333333333333333,Marana
1600000.0,-110.859359,85715,32.263948,1.06,9301,2002,5,5,5954.0,3.0,4,48.0,0,1,1,0,268.72690628149144,320000.0,1.0,Catalina Foothills
1675000.0,-111.070641,85745,32.225806,3.4,9083,2008,4,4,6550.0,3.0,1,0.0,1,0,1,0,255.72519083969465,418750.0,1.0,Tucson Mountains
1610000.0,-110.946612,85718,32.341676,1.0,5178,2016,4,5,4427.0,3.0,1,153.0,1,0,1,0,363.67743392816806,402500.0,1.25,Catalina Foothills
1600000.0,-110.917606,85718,32.296197,3.5,11720,2000,4,7,7037.0,3.0,6,130.0,0,1,1,0,227.36961773483017,400000.0,1.75,Catalina Foothills
1600000.0,-111.046669,85658,32.481937,1.7,18373,2008,4,5,6050.0,4.0,5,132.0,0,1,1,0,264.46280991735534,400000.0,1.25,Marana
1647313.0,-110.848604,85750,32.321979,0.5,17095,1998,6,8,8213.0,4.0,3,135.0,0,1,1,0,200.57384634116644,274552.1666666667,1.3333333333333333,Catalina Foothills
1690000.0,-110.948431,85718,32.348022,1.48,13525,2005,5,5,4779.0,4.0,3,157.0,0,1,0,1,353.6304666248169,338000.0,1.0,Catalina Foothills
1695000.0,-111.052,85658,32.4831,1.5,21602,2008,4,5,5376.0,3.0,3,152.0,0,1,1,0,315.29017857142856,423750.0,1.25,Marana
1595000.0,-110.843481,85750,32.299534,0.86,15324,2000,5,6,6938.0,3.0,3,33.0,0,1,1,0,229.893341020467,319000.0,1.2,Catalina Foothills
1375000.0,-111.053886,85658,32.481265,2.53,20352,2006,4,6,5743.0,4.0,2,143.0,0,1,0,1,239.42190492773813,343750.0,1.5,Marana
1900000.0,-110.927652,85718,32.294339,2.09,12326,1993,4,4,5022.0,3.0,4,5.0,1,0,1,0,378.3353245718837,475000.0,1.0,Catalina Foothills
1500000.0,-111.061766,85658,32.466472,2.06,15711,2007,3,4,3670.0,3.0,3,143.0,0,1,1,0,408.7193460490463,500000.0,1.3333333333333333,Marana
1500000.0,-110.944077,85718,32.340547,0.94,3810,2017,4,6,5335.0,3.0,3,157.33,0,1,0,1,281.1621368322399,375000.0,1.5,Catalina Foothills
1550000.0,-111.095519,85658,32.471308,0.47,13138,2008,4,5,4648.0,3.0,4,550.0,0,1,1,0,333.47676419965575,387500.0,1.25,Marana
1550000.0,-111.086475,85658,32.467426,0.71,14036,2009,4,5,4207.0,3.0,3,129.0,0,1,1,0,368.4335631091039,387500.0,1.25,Marana
1350000.0,-110.839258,85750,32.325702,1.1,14634,1998,5,6,6756.0,4.0,2,117.0,0,1,1,0,199.822380106572,270000.0,1.2,Catalina Foothills
1600000.0,-110.912566,85718,32.291761,1.44,6122,2014,4,6,4934.0,3.0,4,194.0,0,1,1,0,324.2805026347791,400000.0,1.5,Catalina Foothills
1650000.0,-110.943145,85718,32.350142,0.99,19416,2009,5,6,5870.0,3.0,3,171.0,1,0,1,0,281.0902896081772,330000.0,1.2,Catalina Foothills
1695000.0,-110.78,85742,31.95,4.58,19488,2004,6,6,6923.0,15.0,5,0.0,0,1,0,1,244.8360537339304,282500.0,1.0,Corona de Tucson
169000.0,-110.918513,85648,31.451945,0.52,80,2018,4,3,1700.0,2.0,0,0.0,1,0,1,0,99.41176470588236,42250.0,0.75,Rio Rico
1550000.0,-110.915078,85718,32.342356,1.81,21135,2004,4,5,5644.0,4.0,5,273.0,0,1,0,1,274.62792345854007,387500.0,1.25,Catalina Foothills
1400000.0,-110.943676,85718,32.34812,1.15,20300,2004,4,6,6962.0,4.0,4,162.0,0,1,1,0,201.0916403332376,350000.0,1.5,Catalina Foothills
1475000.0,-111.085879,85658,32.468366,2.1,17730,2009,4,5,4406.0,3.0,2,130.0,0,1,1,0,334.770767135724,368750.0,1.25,Marana
1630000.0,-110.94421,85718,32.349232,1.35,14424,2008,4,5,5204.0,4.0,5,169.0,0,1,0,1,313.2205995388163,407500.0,1.25,Catalina Foothills
1769386.0,-111.102623,85658,32.468456,0.4,845,2012,3,4,3276.0,3.0,2,550.0,0,1,1,0,540.1056166056167,589795.3333333334,1.3333333333333333,Marana
1450000.0,-111.093659,85658,32.472548,0.55,1286,2012,3,4,3276.0,3.0,2,550.0,0,1,1,0,442.6129426129426,483333.3333333333,1.3333333333333333,Marana
1657019.0,-111.093129,85658,32.47211,0.63,1930,2017,3,3,2900.0,3.0,2,550.0,0,1,1,0,571.3858620689655,552339.6666666666,1.0,Marana
1485000.0,-110.881172,85718,32.333711,1.07,14819,1989,5,9,7308.0,3.0,6,131.0,0,1,1,0,203.2019704433497,297000.0,1.8,Catalina Foothills
1525000.0,-110.957357,85718,32.354401,6.12,16127,1998,7,7,7294.0,4.0,3,5.0,0,1,1,0,209.075952837949,217857.14285714287,1.0,Catalina Foothills
1200000.0,-110.842117,85750,32.275107,8.8,12946,1954,7,11,10417.0,0.0,5,0.0,1,0,1,0,115.19631371796102,171428.57142857142,1.5714285714285714,Catalina Foothills
1500000.0,-111.086385,85658,32.467815,0.62,14556,2007,4,5,3908.0,3.0,3,134.0,0,1,1,0,383.828045035824,375000.0,1.25,Marana
1600000.0,-111.002814,85755,32.47197,1.28,21011,2008,4,6,7876.0,4.0,2,153.0,0,1,1,0,203.14880650076185,400000.0,1.5,Oro Valley
1550000.0,-110.917949,85718,32.295303,2.88,14081,1995,5,7,6166.0,5.0,7,134.0,1,0,1,0,251.37852740836848,310000.0,1.4,Catalina Foothills
1500000.0,-110.922493,85716,32.21793,1.74,6894,1928,7,8,6481.0,3.0,3,0.0,1,0,1,0,231.44576454250887,214285.7142857143,1.1428571428571428,Tucson
1435000.0,-110.844659,85750,32.32777,0.8,19537,1999,4,5,5049.0,3.0,3,142.0,0,1,1,0,284.2146959794019,358750.0,1.25,Catalina Foothills
1500000.0,-110.971896,85701,32.212947,0.38,3296,1900,4,4,4572.0,0.0,2,0.0,0,1,1,0,328.0839895013123,375000.0,1.0,Tucson
1585000.0,-110.844983,85750,32.298414,1.53,16832,2004,5,5,6430.0,5.0,4,33.0,0,1,1,0,246.50077760497663,317000.0,1.0,Catalina Foothills
1525000.0,-111.053614,85658,32.479607,1.4,17213,2007,5,5,4551.0,3.0,3,148.0,0,1,1,0,335.09118874972535,305000.0,1.0,Marana
1550000.0,-110.864255,85750,32.330365,1.42,9710,1996,3,4,4316.0,3.0,1,211.0,0,1,1,0,359.12882298424466,516666.6666666667,1.3333333333333333,Catalina Foothills
1525000.0,-111.043019,85658,32.444937,3.3,18553,2008,3,4,5180.0,3.0,4,0.0,0,1,1,0,294.4015444015444,508333.3333333333,1.3333333333333333,Marana
1210520.0,-111.101588,85658,32.468488,0.33,1412,1999,4,5,3334.0,2.0,3,550.0,0,1,1,0,363.08338332333534,302630.0,1.25,Marana
