MLS,sold_price,zipcode,longitude,latitude,lot_acres,taxes,year_built,bedrooms,bathrooms,sqrt_ft,garage,fireplaces,HOA,floor_covering_luxury,floor_covering_standard,kitchen_features_luxury,kitchen_features_standard,price_per_ft,price_per_bed_room,bathrooms_per_bedroom,price_per_ft_category,lat_lon
21130257,566000.0,85739,-110.858799,32.550528,0.36,4112,2006,2,3,2681.0,3.0,1,128.0,0,1,0,1,211.1152555016785,283000.0,1.5,0,32.550528-110.858799
21301742,560000.0,85718,-110.91997,32.316634,0.0,4516,2003,3,3,3085.0,2.0,1,175.0,1,0,0,1,181.5235008103728,186666.66666666663,1.0,0,32.316634-110.91997
21701650,650000.0,85718,-110.939721,32.315269,1.52,4649,1972,3,3,2752.0,2.0,1,4.0,1,0,0,1,236.1918604651163,216666.66666666663,1.0,1,32.315269-110.939721
21808008,638000.0,85750,-110.867004,32.282774,0.81,5338,1981,5,5,4413.0,2.0,2,31.0,0,1,1,0,144.57285293451167,127600.0,1.0,0,32.282774-110.867004
21803306,771500.0,85750,-110.854112,32.325539,1.1,10137,1992,3,4,3989.0,2.0,2,166.66,1,0,0,1,193.406868889446,257166.66666666663,1.3333333333333333,0,32.325539-110.854112
21817606,650000.0,85622,-111.038904,31.791327,0.95,5188,2010,3,3,2795.0,3.0,2,90.0,1,0,1,0,232.5581395348837,216666.66666666663,1.0,1,31.791327-111.038904
21127604,1250000.0,85718,-110.9406,32.345394,1.2,14910,2003,3,4,5111.0,3.0,2,159.0,1,0,0,1,244.57053414204657,416666.6666666667,1.3333333333333333,1,32.345394-110.9406
21809970,550000.0,85737,-111.009574,32.420231,0.47,6731,2015,4,3,3575.0,4.0,0,83.0,0,1,1,0,153.84615384615384,137500.0,0.75,0,32.420231-111.009574
21230569,590000.0,85716,-110.929462,32.233652,0.29,3187,1936,4,3,3074.0,0.0,5,0.0,0,1,0,1,191.932335718933,147500.0,0.75,0,32.233652-110.929462
21806918,660000.0,85750,-110.843613,32.317116,0.17,4971,1992,2,3,2245.0,2.0,1,324.0,0,1,0,1,293.9866369710468,330000.0,1.5,1,32.317116-110.843613
21701163,950000.0,85718,-110.931612,32.335184,4.21,5973,1995,4,4,3455.0,3.0,2,84.0,1,0,0,1,274.9638205499276,237500.0,1.0,1,32.335184-110.931612
21903916,795000.0,85641,-110.663901,32.092762,1.74,7191,2001,4,3,3113.0,3.0,3,73.0,0,1,0,1,255.38066174108576,198750.0,0.75,1,32.092762-110.663901
21803417,590000.0,85718,-110.914905,32.304747,1.41,5097,1980,3,3,2740.0,2.0,2,0.0,1,0,1,0,215.32846715328463,196666.66666666663,1.0,1,32.304747-110.914905
21728132,625000.0,85737,-110.947398,32.41404,0.97,7339,1995,5,3,3590.0,3.0,2,83.0,0,1,1,0,174.09470752089138,125000.0,0.6,0,32.41404-110.947398
21707497,925000.0,85750,-110.860361,32.327289,1.01,8266,2000,4,4,3460.0,3.0,3,516.0,0,1,0,1,267.34104046242777,231250.0,1.0,1,32.327289-110.860361
21431943,567260.0,85715,-110.847531,32.2613,0.37,6243,1983,3,2,2884.0,2.0,1,48.0,0,1,0,1,196.69209431345357,189086.66666666663,0.6666666666666666,0,32.2613-110.847531
21821721,550000.0,85704,-110.957498,32.383294,1.69,7087,2003,4,2,2807.0,3.0,2,25.0,0,1,0,1,195.93872461702887,137500.0,0.5,0,32.383294-110.957498
21426204,552500.0,85623,-110.925516,32.580803,0.24,2536,2012,2,4,2379.0,3.0,1,157.0,0,1,0,1,232.24043715846997,276250.0,2.0,1,32.580803-110.925516
21811192,733000.0,85750,-110.859019,32.258122,0.6,6094,1970,4,4,3503.0,3.0,1,57.0,0,1,0,1,209.2492149586069,183250.0,1.0,0,32.258122-110.859019
21402837,545000.0,85742,-111.080822,32.386294,3.31,3640,2002,3,3,2777.0,3.0,2,70.0,0,1,0,1,196.2549513863882,181666.66666666663,1.0,0,32.386294-111.080822
21431830,680000.0,85750,-110.852066,32.321064,0.15,2321,1997,3,3,2771.0,2.0,1,97.0,1,0,0,1,245.39877300613497,226666.66666666663,1.0,1,32.321064-110.852066
21332680,1050000.0,85742,-111.027725,32.359005,2.03,9285,1998,3,5,6428.0,3.0,4,0.0,0,1,0,1,163.34785314250155,350000.0,1.6666666666666667,0,32.359005-111.027725
21121458,795000.0,85749,-110.791508,32.308684,1.0,9339,2006,4,4,3470.0,3.0,2,25.0,0,1,0,1,229.1066282420749,198750.0,1.0,1,32.308684-110.791508
21426723,1265000.0,85755,-110.993815,32.455826,0.95,15910,2009,3,4,4945.0,3.0,4,167.0,1,0,0,1,255.8139534883721,421666.6666666667,1.3333333333333333,1,32.455826-110.993815
21708202,915000.0,85750,-110.861663,32.324043,0.4,2299,2017,4,4,4331.0,3.0,3,43.0,0,1,0,1,211.2676056338028,228750.0,1.0,0,32.324043-110.861663
21311887,557000.0,85745,-111.06586,32.240943,1.57,6992,2006,4,4,3594.0,3.0,1,88.0,0,1,0,1,154.98052309404562,139250.0,1.0,0,32.240943-111.06586
21206793,1001000.0,85718,-110.942612,32.346691,1.0,9248,2002,3,4,3373.0,3.0,1,159.0,1,0,0,1,296.7684553809665,333666.6666666667,1.3333333333333333,1,32.346691-110.942612
21806371,600000.0,85755,-110.988765,32.429212,0.51,8378,2002,4,4,3713.0,3.0,1,36.0,0,1,1,0,161.59439806086723,150000.0,1.0,0,32.429212-110.988765
21528571,580000.0,85750,-110.829223,32.315064,1.53,6449,1961,4,4,4237.0,2.0,1,0.0,0,1,0,1,136.88930847297615,145000.0,1.0,0,32.315064-110.829223
21216692,527500.0,85718,-110.919983,32.315145,0.12,4697,2004,4,3,3085.0,2.0,1,169.0,0,1,0,1,170.98865478119936,131875.0,0.75,0,32.315145-110.919983
21207629,565000.0,85750,-110.872507,32.33235,0.56,4847,1988,3,2,2550.0,2.0,1,192.0,0,1,0,1,221.5686274509804,188333.3333333333,0.6666666666666666,1,32.33235-110.872507
21322164,610000.0,85718,-110.94957,32.315779,0.79,4217,1985,4,3,3116.0,2.0,2,5.0,0,1,0,1,195.7637997432606,152500.0,0.75,0,32.315779-110.94957
21900396,2776518.0,85640,-111.045441,31.562121,147.18,7330,1935,5,5,5067.0,5.0,5,0.0,1,0,0,1,547.9609236234459,555303.6,1.0,1,31.562121-111.045441
21321391,775000.0,85737,-110.987721,32.407238,0.95,6137,2003,4,4,3011.0,3.0,2,58.0,1,0,0,1,257.3895715709067,193750.0,1.0,1,32.407238-110.987721
21433405,688000.0,85748,-110.745104,32.218056,3.5,6173,2008,5,4,4826.0,3.0,2,0.0,0,1,0,1,142.5611272275176,137600.0,0.8,0,32.218056-110.745104
21612610,535000.0,85749,-110.72756,32.264501,0.86,4850,1996,4,3,3425.0,3.0,4,8.0,1,0,0,1,156.20437956204378,133750.0,0.75,0,32.264501-110.72756
21901425,750000.0,85750,-110.860324,32.329726,0.83,6423,1994,4,3,2859.0,2.0,1,43.0,0,1,1,0,262.3294858342078,187500.0,0.75,1,32.329726-110.860324
21730799,972877.0,85719,-110.939406,32.243494,0.21,0,2018,3,3,3002.0,2.0,1,125.0,0,1,1,0,324.07628247834776,324292.3333333333,1.0,1,32.243494-110.939406
21912510,604090.0,85749,-110.784124,32.278889,1.0,5890,1989,3,3,3867.0,3.0,0,6.25,0,1,0,1,156.21670545642618,201363.3333333333,1.0,0,32.278889-110.784124
21704298,545000.0,85750,-110.85042,32.281287,1.76,5657,2002,4,3,3052.0,3.0,2,90.0,1,0,1,0,178.57142857142858,136250.0,0.75,0,32.281287-110.85042
21809686,657000.0,85718,-110.885614,32.33016,0.79,6016,1977,3,2,2917.0,2.0,1,258.0,0,1,0,1,225.23140212547136,219000.0,0.6666666666666666,1,32.33016-110.885614
