MLS,sold_price,zipcode,longitude,latitude,lot_acres,taxes,year_built,bedrooms,bathrooms,sqrt_ft,garage,fireplaces,HOA,floor_covering_luxury,floor_covering_standard,kitchen_features_luxury,kitchen_features_standard,price_per_ft,price_per_bed_room,bathrooms_per_bedroom,price_per_ft_category
21409831,1831392.0,85658,-111.097132,32.468215,0.46,1609,2015,3,4,3276.0,2.0,2,550.0,1,0,0,1,559.032967032967,610464.0,1.3333333333333333,1
21409830,1909299.0,85658,-111.096949,32.467874,0.46,1609,2015,3,4,3276.0,2.0,2,550.0,1,0,0,1,582.8141025641025,636433.0,1.3333333333333333,1
21404992,679000.0,85718,-110.909504,32.33235,0.71,4185,1969,4,4,3287.0,2.0,1,6.0,1,0,0,1,206.57134164892,169750.0,1.0,0
21518935,680000.0,85718,-110.909507,32.332343,0.71,4447,1969,4,4,3287.0,2.0,1,6.0,1,0,0,1,206.8755704289626,170000.0,1.0,0
21624670,990000.0,85737,-110.948316,32.399464,0.81,8323,2008,3,4,3306.0,3.0,3,71.0,0,1,0,1,299.45553539019966,330000.0,1.3333333333333333,1
21523863,989000.0,85737,-110.948316,32.399467,0.81,8399,2008,3,4,3306.0,3.0,3,71.0,0,1,0,1,299.15305505142163,329666.6666666667,1.3333333333333333,1
21526938,780000.0,85718,-110.919814,32.293253,0.82,6693,1999,4,3,3312.0,3.0,2,112.0,0,1,0,1,235.5072463768116,195000.0,0.75,1
21312049,733000.0,85737,-110.988674,32.403253,0.82,6412,2002,4,3,3312.0,3.0,2,65.0,0,1,0,1,221.31642512077292,183250.0,0.75,1
21608493,757500.0,85737,-110.947087,32.415894,1.01,8477,2001,4,3,3315.0,3.0,3,75.0,1,0,0,1,228.50678733031677,189375.0,0.75,1
21904936,785000.0,85737,-110.947097,32.415886,1.01,8129,2001,4,3,3315.0,3.0,3,75.0,1,0,0,1,236.80241327300152,196250.0,0.75,1
21206957,537500.0,85750,-110.823026,32.281688,0.68,5945,2003,4,4,3324.0,3.0,1,110.0,0,1,0,1,161.70276774969915,134375.0,1.0,0
21826354,645500.0,85750,-110.823028,32.281683,0.68,6873,2003,4,4,3324.0,3.0,1,125.0,0,1,1,0,194.19374247894103,161375.0,1.0,0
21303155,750000.0,85750,-110.844197,32.326666,0.56,7000,2000,3,3,3330.0,2.0,1,122.0,1,0,0,1,225.2252252252252,250000.0,1.0,1
21825715,819000.0,85755,-110.952628,32.456307,0.7,8442,2004,3,3,3330.0,3.0,2,0.0,0,1,1,0,245.94594594594597,273000.0,1.0,1
21527750,773000.0,85755,-110.952628,32.456304,0.7,8091,2004,3,3,3330.0,3.0,2,67.0,0,1,0,1,232.1321321321321,257666.66666666663,1.0,1
21409937,725000.0,85750,-110.844186,32.326655,0.56,6720,2000,3,3,3330.0,2.0,1,129.0,1,0,0,1,217.7177177177177,241666.66666666663,1.0,1
21911444,739900.0,85718,-110.910188,32.321464,0.11,5050,1996,3,3,3359.0,2.0,1,0.0,0,1,0,1,220.2738910389997,246633.3333333333,1.0,1
21618985,720000.0,85718,-110.910188,32.321463,0.11,4413,1996,3,3,3359.0,2.0,1,175.0,0,1,0,1,214.3495087823757,240000.0,1.0,1
21827738,680000.0,85718,-110.885511,32.283423,1.92,2878,1972,4,3,3370.0,2.0,1,6.0,0,1,0,1,201.78041543026703,170000.0,0.75,0
21433103,580000.0,85748,-110.739063,32.233342,3.31,4312,1998,3,4,3370.0,3.0,1,0.0,0,1,0,1,172.10682492581603,193333.3333333333,1.3333333333333333,0
21624266,580000.0,85748,-110.739074,32.23334,3.31,4827,1998,3,4,3370.0,3.0,1,0.0,0,1,0,1,172.10682492581603,193333.3333333333,1.3333333333333333,0
