MLS,sold_price,zipcode,longitude,latitude,lot_acres,taxes,year_built,bedrooms,bathrooms,sqrt_ft,garage,fireplaces,HOA,floor_covering_luxury,floor_covering_standard,kitchen_features_luxury,kitchen_features_standard,price_per_ft,price_per_bed_room,bathrooms_per_bedroom,price_per_ft_category,lat_lon
21704152,705000.0,85755,-110.987112,32.427242,0.51,7095,2001,5,4,3754.0,3.0,1,18.0,0,1,0,1,187.79968034096964,141000.0,0.8,0,32.427242-110.987112
21829935,675000.0,85716,-110.933628,32.230803,0.32,4218,1941,5,4,3095.0,0.0,1,0.0,0,1,0,1,218.0936995153473,135000.0,0.8,1,32.230803-110.933628
21718555,1250000.0,85719,-110.940744,32.230185,0.3,5156,1936,4,4,4647.0,2.0,2,0.0,0,1,0,1,268.9907467183129,312500.0,1.0,1,32.230185-110.940744
21630973,965000.0,85755,-111.008139,32.469016,1.03,2699,2017,4,4,4158.0,3.0,1,194.0,1,0,1,0,232.0827320827321,241250.0,1.0,1,32.469016-111.008139
21815494,850000.0,85749,-110.723893,32.284625,3.75,8396,2004,4,4,4915.0,4.0,2,2.0,0,1,1,0,172.93997965412004,212500.0,1.0,0,32.284625-110.723893
21831697,1500000.0,85750,-110.837233,32.316392,0.84,13503,2001,4,5,5239.0,3.0,3,142.0,1,0,0,1,286.31418209581983,375000.0,1.25,1,32.316392-110.837233
21619813,1065000.0,85718,-110.888839,32.329807,0.88,10709,2006,4,6,5810.0,3.0,2,258.0,1,0,0,1,183.30464716006884,266250.0,1.5,0,32.329807-110.888839
21304014,510000.0,85619,-110.758967,32.441653,0.23,5080,2005,3,3,1900.0,2.0,1,0.0,0,1,0,1,268.42105263157896,170000.0,1.0,1,32.441653-110.758967
21704584,825000.0,85749,-110.73013,32.302692,3.39,7984,2001,5,5,5260.0,5.0,3,100.0,1,0,0,1,156.84410646387832,165000.0,1.0,0,32.302692-110.73013
21401059,600000.0,85750,-110.869149,32.310981,1.45,4958,1984,4,3,3583.0,3.0,2,40.0,1,0,0,1,167.4574379012001,150000.0,0.75,0,32.310981-110.869149
21401442,975000.0,85718,-110.914945,32.291514,1.5,10617,2002,4,5,4556.0,3.0,3,161.0,1,0,0,1,214.00351185250216,243750.0,1.25,1,32.291514-110.914945
21307872,502000.0,85641,-110.668461,32.096095,1.75,5151,2006,4,4,3272.0,3.0,2,65.0,0,1,0,1,153.4229828850856,125500.0,1.0,0,32.096095-110.668461
21407781,900000.0,85718,-110.927569,32.307184,1.0,6951,2007,3,4,3722.0,3.0,4,50.0,1,0,0,1,241.80548092423427,300000.0,1.3333333333333333,1,32.307184-110.927569
21424341,650000.0,85718,-110.888403,32.327795,1.1,4447,1964,4,4,3435.0,2.0,3,215.0,1,0,0,1,189.22852983988355,162500.0,1.0,0,32.327795-110.888403
21503107,695000.0,85748,-110.747014,32.227621,3.43,6674,1997,4,5,3893.0,3.0,3,64.0,1,0,0,1,178.52555869509376,173750.0,1.25,0,32.227621-110.747014
21425598,1045000.0,85737,-110.989458,32.400046,0.63,12758,2005,4,5,5771.0,3.0,2,45.0,1,0,0,1,181.07780280713916,261250.0,1.25,0,32.400046-110.989458
21804483,639000.0,85718,-110.950865,32.31585,0.57,6511,1984,5,4,5209.0,2.0,2,6.0,0,1,0,1,122.67229794586292,127800.0,0.8,0,32.31585-110.950865
21230229,1700000.0,85718,-110.924011,32.34114,0.0,17874,2005,5,6,6719.0,4.0,3,250.0,1,0,0,1,253.01384134543832,340000.0,1.2,1,32.34114-110.924011
21316703,613587.0,85750,-110.83348,32.314625,0.89,862,2013,4,4,3146.0,3.0,1,55.0,0,1,0,1,195.03719008264463,153396.75,1.0,0,32.314625-110.83348
21900060,614900.0,85749,-110.777522,32.290619,0.98,5729,2003,4,5,3743.0,6.0,3,0.0,0,1,0,1,164.279989313385,153725.0,1.25,0,32.290619-110.777522
21428901,750000.0,85749,-110.778271,32.260216,4.0,4032,1988,3,3,2692.0,2.0,2,0.0,0,1,0,1,278.6032689450223,250000.0,1.0,1,32.260216-110.778271
21400075,1400000.0,85658,-111.089967,32.466866,0.65,11139,2011,3,4,3625.0,3.0,5,118.0,1,0,0,1,386.2068965517241,466666.6666666667,1.3333333333333333,1,32.466866-111.089967
21207527,769900.0,85718,-110.877309,32.274192,0.5,7983,2002,5,4,3929.0,3.0,3,63.0,0,1,0,1,195.9531687452278,153980.0,0.8,0,32.274192-110.877309
21627603,850000.0,85718,-110.916547,32.298522,1.53,7171,1983,4,4,3740.0,2.0,2,190.0,1,0,0,1,227.27272727272728,212500.0,1.0,1,32.298522-110.916547
