latitude,longitude,price_per_ft_category
32.326126,-110.874409,2
32.47008,-111.087772,2
32.395708,-110.943718,2
32.253344,-110.743582,1
32.396575,-110.968769,2
32.459629,-111.087087,1
32.23117,-110.927929,1
32.341104,-110.921063,1
32.544125,-110.855203,2
32.231509,-110.942267,2
32.298738,-110.813642,2
32.326712,-110.889291,2
32.280541,-110.849338,2
32.431398,-110.984471,1
32.277521,-111.043189,1
32.254824,-110.853638,1
32.461205,-111.063488,3
32.238176,-110.748185,2
32.303578,-110.884654,2
32.457836,-111.019954,1
32.386437,-111.019872,1
32.335337,-110.944135,1
32.303449,-110.958922,1
32.326714,-110.861064,2
32.459473,-111.093696,2
31.923188,-110.75778,2
32.322173,-110.867786,2
32.265074,-110.806144,1
32.334994,-110.934818,1
32.315192,-110.832873,2
32.25146,-110.849948,1
32.226885,-110.932176,2
32.340913,-110.946846,2
32.279032,-110.781257,1
32.264009,-110.86202,2
32.299331,-110.720576,1
32.587383,-110.922582,2
32.455792,-110.953811,2
32.23312,-110.925026,1
32.312618,-110.922363,3
32.332391,-110.877659,2
32.338115,-110.964758,1
32.32021,-110.886009,1
32.410569,-110.950139,2
32.443022,-110.754519,3
32.269328,-110.707646,1
32.327174,-110.869301,2
32.387155,-111.013647,1
32.323537,-110.835801,3
32.283321,-110.865303,1
32.312281,-110.921063,2
32.309793,-110.945937,2
32.330832,-110.927895,2
32.262062,-110.86457,1
32.289338,-110.930185,2
32.307982,-110.921928,2
32.342212,-110.939492,1
32.409312,-110.969236,2
32.399687,-110.945,1
32.245865,-110.777557,1
32.260106,-111.074866,2
32.349069,-110.942588,3
31.835117,-110.971212,1
32.350087,-110.963075,1
32.319725,-110.90939,3
32.459515,-110.97769,2
32.301257,-110.917571,2
32.28888,-110.813327,1
32.472631,-110.962515,2
32.552416,-110.855742,2
32.300085,-110.932266,2
32.230196,-110.941196,2
32.462802,-110.993794,2
32.302642,-110.88587,2
32.292563,-110.81883,2
32.351066,-110.954534,1
32.224493,-110.925117,2
31.649091,-111.035225,2
32.330878,-110.86229,2
32.459176,-111.086636,2
32.432065,-110.980023,2
32.292655,-110.799494,1
32.541026,-110.86121,1
31.839623,-111.009941,1
32.288808,-110.915515,3
32.319507,-110.859204,1
32.307212,-110.783374,2
32.468366,-111.085879,3
32.433025,-110.983512,1
32.33623,-110.919763,2
32.462819,-111.099866,2
32.550486,-110.8608,1
32.312117,-111.091299,1
34.11843,-109.861617,2
32.545264,-110.861403,1
32.297873,-110.951534,1
32.288342,-110.927732,2
32.242829,-110.938327,4
32.297742,-110.841474,2
32.325386,-110.898217,1
32.253375,-110.810122,1
32.38678,-110.946854,1
32.328752,-110.86713,1
32.295495,-110.725574,1
32.31901,-110.851558,1
32.298839,-110.914549,1
32.301059,-110.916292,2
32.212947,-110.971896,3
32.284401,-110.921187,2
32.240921,-110.942203,2
32.469016,-111.008139,2
32.230629,-110.966926,2
32.305185,-110.791548,1
32.290263,-110.922044,3
32.258096,-110.857795,1
32.234589,-110.741712,2
32.264695,-110.862142,4
32.309334,-110.916643,2
32.279477,-110.838336,1
32.389474,-111.013589,1
32.342756,-110.936002,2
32.325057,-110.845729,2
32.325646,-110.844902,2
31.857286,-110.960215,1
31.712332,-109.826223,1
32.250909,-110.774988,1
32.329681,-110.862457,1
32.100101,-110.667812,1
32.341405,-110.942159,2
31.971741,-110.710582,2
32.303547,-110.756841,1
32.250695,-110.730544,1
32.323777,-110.865134,2
32.326195,-110.866553,2
32.314078,-110.839427,1
32.319229,-110.839405,1
32.297736,-110.841485,2
