ZIP Code,City,Latitude,Longitude
86435,Supai,36.23,-112.69
86413,Golden Shores,34.78,-114.48
86429,Bullhead City city,35.12,-114.55
86430,Bullhead City city,35.12,-114.55
86439,Bullhead City city,35.12,-114.55
86442,Bullhead City city,35.12,-114.55
86431,Chloride,35.41,-114.2
86432,Littlefield,36.87,-113.94
86433,Oatman,35.03,-114.38
86434,Peach Springs,35.53,-113.43
86436,Topock,34.72,-114.48
86437,Valentine,35.39,-113.66
86438,Yucca,34.86,-114.15
86440,Fort Mohave,35.0,-114.57
86446,Fort Mohave,35.0,-114.57
86441,Dolan Springs,35.59,-114.29
86444,Meadview,35.95,-114.08
86445,Willow Canyon,32.39,-110.7
86505,Ganado,35.7,-109.55
86506,Houck,35.27,-109.22
86507,Lukachukai,36.41,-109.23
86508,Lupton,35.35,-109.05
86510,Pinon,36.1,-110.22
86512,Sanders,35.21,-109.32
86514,Teec Nos Pos,36.92,-109.08
86515,Window Rock,35.67,-109.06
86535,Dennehotso,36.82,-109.88
86538,Many Farms,36.35,-109.63
86540,Nazlini,35.92,-109.47
86545,Hard Rock,36.03,-110.5
86547,Round Rock,36.5,-109.46
86556,Tsaile,36.3,-109.22
